猪头肉	(参考:每100g fat=44.6g kcal=500)
扇子骨	(参考:每100g fat=20.4g kcal=180)
鸭脖	(参考:每100g fat=19.7g kcal=240)
豆腐皮	(参考:每100g fat=17.4g kcal=409)
鸡毛蛋	(参考:每100g fat=13.2g kcal=176)
椰子	(参考:每100g fat=12.1g kcal=241)
腊鸡	(参考:每100g fat=11.0g kcal=200)
汤圆	(参考:每100g fat=10g kcal=311)
咸鸡	(参考:每100g fat=9.4g kcal=167)
炼乳	(参考:每100g fat=8.7g kcal=332)
五香粉	(参考:每100g fat=8.0g kcal=359)
鸭肠	(参考:每100g fat=7.8g kcal=129)
酱豆	(参考:每100g fat=7.0g kcal=190)
猪瘦肉	(参考:每100g fat=6.2g kcal=143)
辣椒酱	(参考:每100g fat=6.0g kcal=120)
蹄髈	(参考:每100g fat=5.4g kcal=116)
鸡胸肉	(参考:每100g fat=5.0g kcal=133)
鸭杂	(参考:每100g fat=4.5g kcal=110)
鲤鱼	(参考:每100g fat=4.1g kcal=109)
豆腐	(参考:每100g fat=3.7g kcal=84)
鲈鱼	(参考:每100g fat=3.4g kcal=105)
玉米面	(参考:每100g fat=3.3g kcal=350)
小米	(参考:每100g fat=3.1g kcal=361)
