香肠	(参考:每100g fat=40.7g kcal=508)
大骨头	(参考:每100g fat=20.4g kcal=200)
鸭腿	(参考:每100g fat=19.0g kcal=240)
千张结	(参考:每100g fat=16.0g kcal=262)
咸鸭蛋	(参考:每100g fat=12.7g kcal=190)
干辣椒	(参考:每100g fat=12.0g kcal=292)
皮蛋	(参考:每100g fat=10.7g kcal=171)
鱼豆腐	(参考:每100g fat=10.0g kcal=185)
速冻水饺	(参考:每100g fat=9g kcal=220)
香叶	(参考:每100g fat=8.4g kcal=313)
小笼包	(参考:每100g fat=8.0g kcal=195)
虾糕	(参考:每100g fat=7.8g kcal=123)
馄饨	(参考:每100g fat=7.0g kcal=220)
青团	(参考:每100g fat=6.2g kcal=222)
杂粮煎饼	(参考:每100g fat=5.7g kcal=300)
猪心	(参考:每100g fat=5.3g kcal=119)
毛豆	(参考:每100g fat=5.0g kcal=131)
鸭胸肉	(参考:每100g fat=4.3g kcal=119)
螺蛳粉	(参考:每100g fat=4.0g kcal=380)
冻豆腐	(参考:每100g fat=3.7g kcal=81)
薏米	(参考:每100g fat=3.3g kcal=366)
牛奶	(参考:每100g fat=3.2g kcal=54)
小鱼干	(参考:每100g fat=3.1g kcal=196)
