咸肉	(参考:每100g fat=36.0g kcal=390)
油豆腐	(参考:每100g fat=20.2g kcal=245)
咸猪蹄	(参考:每100g fat=18.8g kcal=260)
紫燕百味鸡	(参考:每100g fat=15.0g kcal=250)
西冷	(参考:每100g fat=12.7g kcal=201)
翅中	(参考:每100g fat=11.8g kcal=194)
三明治	(参考:每100g fat=10.6g kcal=250)
鱼罐头	(参考:每100g fat=9.8g kcal=155)
茶叶蛋	(参考:每100g fat=9.0g kcal=144)
腐乳	(参考:每100g fat=8.1g kcal=151)
十三香	(参考:每100g fat=8.0g kcal=348)
苏打饼干	(参考:每100g fat=7.7g kcal=408)
豆瓣酱	(参考:每100g fat=6.8g kcal=178)
藜麦	(参考:每100g fat=6.1g kcal=368)
八角	(参考:每100g fat=5.6g kcal=195)
草鱼	(参考:每100g fat=5.2g kcal=113)
自热米饭	(参考:每100g fat=5g kcal=200)
牛肉	(参考:每100g fat=4.2g kcal=125)
牛肉丸	(参考:每100g fat=4.0g kcal=137)
豆干	(参考:每100g fat=3.6g kcal=140)
榴莲	(参考:每100g fat=3.3g kcal=151)
无糖酸奶	(参考:每100g fat=3.2g kcal=57)
豆豉	(参考:每100g fat=3.0g kcal=244)
