馓子	(参考:每100g fat=28.0g kcal=470)
橄榄菜	(参考:每100g fat=20.0g kcal=240)
肥肠	(参考:每100g fat=18.7g kcal=196)
牛油果	(参考:每100g fat=14.7g kcal=160)
素鸡	(参考:每100g fat=12.5g kcal=194)
卤牛肉	(参考:每100g fat=11.3g kcal=246)
后腿瘦肉	(参考:每100g fat=10.5g kcal=175)
猪皮冻	(参考:每100g fat=9.8g kcal=130)
饺子	(参考:每100g fat=9.0g kcal=240)
老豆腐	(参考:每100g fat=8.1g kcal=116)
蒸饺	(参考:每100g fat=8.0g kcal=220)
青占鱼	(参考:每100g fat=7.4g kcal=155)
燕麦	(参考:每100g fat=6.7g kcal=367)
鸭翅	(参考:每100g fat=6.1g kcal=146)
吐司	(参考:每100g fat=5.6g kcal=300)
面包	(参考:每100g fat=5.1g kcal=313)
卷饼	(参考:每100g fat=5.0g kcal=310)
咸鱼	(参考:每100g fat=4.2g kcal=108)
肉丸	(参考:每100g fat=4.0g kcal=137)
全麦面包	(参考:每100g fat=3.5g kcal=246)
口蘑	(参考:每100g fat=3.3g kcal=278)
驴肉	(参考:每100g fat=3.2g kcal=117)
炕馍	(参考:每100g fat=3.0g kcal=320)
