腊鸭腿	(参考:每100g fat=22.0g kcal=280)
鸭头	(参考:每100g fat=19.7g kcal=240)
油条	(参考:每100g fat=17.6g kcal=388)
猪肉末	(参考:每100g fat=14.0g kcal=200)
咖喱	(参考:每100g fat=12.2g kcal=415)
猪耳朵	(参考:每100g fat=11.1g kcal=176)
火腿肠	(参考:每100g fat=10.4g kcal=212)
老母鸡	(参考:每100g fat=9.4g kcal=167)
花椒	(参考:每100g fat=8.9g kcal=314)
料理包	(参考:每100g fat=8g kcal=150)
猪里脊	(参考:每100g fat=7.9g kcal=155)
鲳鱼	(参考:每100g fat=7.3g kcal=140)
鳊鱼	(参考:每100g fat=6.3g kcal=135)
鹰嘴豆	(参考:每100g fat=6.0g kcal=364)
牛腩	(参考:每100g fat=5.4g kcal=123)
猪肚	(参考:每100g fat=5.1g kcal=110)
带鱼	(参考:每100g fat=4.9g kcal=127)
桂鱼	(参考:每100g fat=4.2g kcal=117)
羊排	(参考:每100g fat=3.9g kcal=119)
咸猪肝	(参考:每100g fat=3.5g kcal=129)
牛腱	(参考:每100g fat=3.3g kcal=122)
猪腰	(参考:每100g fat=3.2g kcal=96)
玫瑰花	(参考:每100g fat=3.0g kcal=30)
