staple	谷薯主食类
vegetable	蔬菜类
fungi_algae	菌藻类
fruit	水果类
meat	畜禽肉类
aquatic	水产类
egg	蛋类
dairy	奶类
soy_nut	大豆及坚果
oil	油脂类
seasoning	调味品
convenience	方便食品
other	其他
staple_grain	谷物类
staple_grain_rice	稻米类
staple_grain_wheat	麦类
staple_grain_coarse	杂粮类
staple_grain_product	谷物制品
staple_tuber	薯芋类
staple_legume	杂豆类
vegetable_leaf	叶菜类
vegetable_root	根茎类
vegetable_gourd_solanaceae	瓜茄类
vegetable_gourd	瓜类
vegetable_solanaceae	茄果类
vegetable_fresh_bean	鲜豆类
vegetable_allium	葱蒜类
vegetable_aquatic	水生蔬菜类
vegetable_wild	野菜类
fungi	食用菌类
algae	藻类
fruit_pome	仁果类
fruit_stone	核果类
fruit_berry	浆果类
fruit_citrus	柑橘类
fruit_melon	瓜果类
fruit_tropical	热带水果类
fruit_dried	干果蜜饯类
meat_livestock	畜肉类
meat_pork	猪肉类
meat_beef	牛肉类
meat_mutton	羊肉类
meat_livestock_other	其他畜肉类
meat_poultry	禽肉类
meat_offal	动物内脏类
meat_processed	肉制品类
aquatic_fish	鱼类
aquatic_fish_freshwater	淡水鱼类
aquatic_fish_marine	海水鱼类
aquatic_crustacean	虾蟹类
aquatic_bivalve	贝类
aquatic_cephalopod	头足类
aquatic_other	其他水产类
aquatic_processed	水产制品类
egg_fresh	鲜蛋类
egg_product	蛋制品类
dairy_liquid	液态奶类
dairy_fermented	发酵乳类
dairy_product	奶制品类
soy_bean	大豆类
soy_product	豆制品类
nut_tree	树坚果类
nut_seed	种子类
oil_plant	植物油类
oil_animal	动物油类
seasoning_savory	咸鲜调料类
seasoning_sauce	酱类
seasoning_sweet_sour	酸甜调料类
seasoning_spice	香辛料类
seasoning_other	其他调料类
convenience_frozen	速冻食品类
convenience_instant	方便食品类
convenience_canned	罐头类
convenience_prepared	预制菜类
nutrition	健康饮食
crowd	人群分类
seasoning_high_sodium	高钠调味
purine_low	低嘌呤
purine_medium	中嘌呤
purine_high	高嘌呤
gi_low	低 GI
gi_medium	中 GI
gi_high	高 GI
sugar_low	低糖
fiber_high	高膳食纤维
protein_quality	优质蛋白
fat_low	低脂
fat_high	高脂
sodium_low	低钠
sodium_high	高钠
potassium_high	高钾
calcium_high	高钙
whole_grain	全谷物
dark_vegetable	深色蔬菜
nutrition_iron	补铁食物
nutrition_iron_heme	血红素铁
nutrition_iron_non_heme	非血红素铁
nutrition_calcium	补钙食物
nutrition_calcium_absorbable	高钙且易吸收
nutrition_calcium_plant	植物性高钙
nutrition_vitamin	维生素类食物
nutrition_vitamin_a	维生素A
nutrition_vitamin_b	B族维生素
nutrition_vitamin_c	维生素C
nutrition_vitamin_d	维生素D
nutrition_vitamin_e	维生素E
nutrition_zinc	补锌食物
nutrition_omega3	Omega-3脂肪酸食物
care_gout	高尿酸血症与痛风
care_diabetes	2型糖尿病与血糖异常
care_hyperlipidemia	高脂血症
care_hypertension	高血压
care_ckd	慢性肾脏病
care_fatty_liver	非酒精性脂肪肝
care_coronary	冠心病与动脉粥样硬化
care_osteoporosis	骨质疏松症
care_gastritis	慢性胃炎与消化性溃疡
care_bowel	慢性肠道疾病
care_constipation	慢性便秘
care_diarrhea	慢性腹泻
care_thyroid	甲状腺疾病
care_hyperthyroidism	甲状腺功能亢进
care_hypothyroidism	甲状腺功能减退/桥本甲状腺炎
care_obesity	肥胖症/减重饮食
care_homocysteine	高同型半胱氨酸血症
season	应季
season_spring	春季
season_summer	夏季
season_autumn	秋季
season_winter	冬季
care_pregnancy	孕期
care_lactation	哺乳期
care_infant	婴幼儿(0-2岁)
care_preschool	学龄前儿童(2-6岁)
care_schoolage	学龄儿童(6-17岁)
care_preconception	备孕
