蓝莓 | 克 | fruit,fruit_berry
低脂牛奶 | 毫升 | dairy,dairy_liquid,protein_quality,calcium_high,nutrition_calcium_absorbable,fat_low
无糖酸奶 | 毫升 | dairy,dairy_fermented,protein_quality,calcium_high,nutrition_calcium_absorbable,sugar_low
鳕鱼 | 克 | aquatic,aquatic_fish,aquatic_fish_marine,protein_quality
蟹 | 只 | aquatic,aquatic_crustacean,purine_medium,nutrition_zinc
蛤蜊 | 克 | aquatic,aquatic_bivalve,purine_high,nutrition_iron_heme,nutrition_zinc
杏仁 | 克 | soy_nut,nut_tree
腰果 | 克 | soy_nut,nut_tree
芝麻 | 克 | soy_nut,nut_seed,calcium_high
盐 | 克 | seasoning,seasoning_savory,sodium_high
生抽 | 勺 | seasoning,seasoning_savory,sodium_high
老抽 | 勺 | seasoning,seasoning_savory,sodium_high
醋 | 勺 | seasoning,seasoning_sweet_sour
料酒 | 勺 | seasoning,seasoning_other
蚝油 | 勺 | seasoning,seasoning_savory,sodium_high
豆瓣酱 | 勺 | seasoning,seasoning_sauce,sodium_high
白糖 | 克 | seasoning,seasoning_sweet_sour
姜 | 片 | seasoning,seasoning_spice
葱 | 段 | seasoning,seasoning_spice
大蒜 | 瓣 | seasoning,seasoning_spice
辣椒 | 个 | seasoning,seasoning_spice
花生油 | 勺 | oil,oil_plant,fat_high
菜籽油 | 勺 | oil,oil_plant,fat_high
橄榄油 | 勺 | oil,oil_plant,fat_high
猪油 | 勺 | oil,oil_animal,fat_high
藜麦 | 克 | staple,staple_grain,staple_grain_coarse,whole_grain,fiber_high,gi_low,nutrition_iron_non_heme
鹰嘴豆 | 克 | staple,staple_legume,fiber_high,gi_low
芥蓝 | 把 | vegetable,vegetable_leaf,dark_vegetable,nutrition_calcium_plant,season_winter
油麦菜 | 把 | vegetable,vegetable_leaf,purine_low,season_winter
茼蒿 | 把 | vegetable,vegetable_leaf,dark_vegetable,season_winter
苋菜 | 把 | vegetable,vegetable_leaf,dark_vegetable,potassium_high,nutrition_calcium_plant,nutrition_iron_non_heme
香菜 | 把 | vegetable,vegetable_leaf
芦笋 | 根 | vegetable,purine_medium,nutrition_vitamin_b,season_spring
樱桃 | 克 | fruit,fruit_stone,gi_low,nutrition_vitamin_c
红枣 | 颗 | fruit,fruit_stone,nutrition_vitamin_c
荔枝 | 颗 | fruit,fruit_tropical
哈密瓜 | 个 | fruit,fruit_melon,potassium_high
火腿 | 片 | meat,meat_processed,sodium_high
香肠 | 根 | meat,meat_processed,sodium_high,fat_high
腊肉 | 克 | meat,meat_processed,sodium_high,fat_high
猪蹄 | 个 | meat,meat_livestock,meat_pork,fat_high
鸭血 | 克 | meat,meat_offal,nutrition_iron_heme,fat_low
鲤鱼 | 条 | aquatic,aquatic_fish,aquatic_fish_freshwater,purine_medium
黄鳝 | 条 | aquatic,aquatic_fish,aquatic_fish_freshwater,purine_medium
沙丁鱼 | 条 | aquatic,aquatic_fish,aquatic_fish_marine,purine_high,nutrition_omega3
鱿鱼 | 只 | aquatic,aquatic_cephalopod,purine_high
扇贝 | 只 | aquatic,aquatic_bivalve,purine_high,nutrition_zinc
生蚝 | 只 | aquatic,aquatic_bivalve,purine_high,nutrition_zinc
海参 | 只 | aquatic,aquatic_other,protein_quality,purine_low,fat_low
虾皮 | 克 | aquatic,aquatic_crustacean,sodium_high,calcium_high,nutrition_calcium_absorbable
咸鸭蛋 | 个 | egg,egg_product,sodium_high
奶酪 | 片 | dairy,dairy_product,protein_quality,calcium_high,nutrition_calcium_absorbable,fat_high,sodium_high
板栗 | 颗 | soy_nut,nut_tree,gi_medium
南瓜子 | 克 | soy_nut,nut_seed,fat_high,nutrition_zinc
亚麻籽 | 勺 | soy_nut,nut_seed,nutrition_omega3,fiber_high,fat_high
芝麻油 | 勺 | oil,oil_plant,fat_high
亚麻籽油 | 勺 | oil,oil_plant,fat_high,nutrition_omega3
蜂蜜 | 勺 | seasoning,seasoning_sweet_sour,gi_high
鸡精 | 勺 | seasoning,seasoning_savory,sodium_high
大麦 | 克 | staple,staple_grain,staple_grain_wheat,whole_grain,fiber_high,gi_low
